source_concept_code,ws_frequency
1410000148,171761
1645,170951
3042500022,170875
3040105614,170825
3041008103,170544
1500004075,169700
1651,169201
331193,168991
3041008106,168757
304100900,168021
3040110778,167824
3040105181,167649
3040110754,166824
301490,166667
301420,166648
303260,166439
1600100019,166387
364330,166055
304001203,166004
1540100029,165117
30416065,164417
3040108952,164203
301410,164181
30412000199,163871
304000621,163575
2235,163278
1644,163170
304100001,162205
21774,162042
301470,161691
3041008028,161575
3043100,161408
1610100007,161197
30412000169,161092
304100903,160985
30412000170,160928
530590,160769
2500000009,159585
22519,159486
301480,158652
22314,158420
7070179,157835
30412000173,157233
300111,156770
315601,156333
11836,156165
30412000174,155565
1120100054,155128
304725059401,154993
3040102640,154827
400619,154065
1150001903,153182
30412000071,152451
1500004081,152353
3041001611,152214
302300,150975
3040104651,150548
7096287,150381
1540100034,149105
27066,148874
364310,148829
1570063158,148452
1500004078,148022
30412000171,147872
1500004123,147547
3041005501,147110
3047350312002,146448
7061290,145987
1825,145637
3040101146,145511
1500004079,145429
7422301021,144977
304140,144594
1500004080,144481
3041005502,143765
30412000177,143672
30491006,143643
3041001609,143517
3040202889,143459
30412000178,142880
301500,142807
30412000164,142801
304001215,142663
350040,142587
74202014500,142471
364050,142401
1500004119,142365
1487,142183
30412000161,142171
30412000179,142075
3041005503,141826
3040102787,141814
30412000163,141773
360060,141483
30412000162,141469
3047350312001,141399
304002230,141269
301540,141052
30412000168,141004
3040101320,140460
30491007,140216
30412000160,139971
30413000182,139869
7420000043,139583
30412000250,139519
30412000085,139460
1500004120,139415
350110,139319
12156,139256
7422020400,139047
1570400187,138996
3041210200,138839
1500004121,138780
1600100234,138722
10701000461,138544
30412000165,138528
3040101423,138402
12054,137966
3040101147,137862
30412000227,137734
3040101148,137594
3041008102,137516
23251,136891
1500003270,136871
1500003046,136570
1489,136182
3040101149,136023
12503,135810
305630,135760
396150,135482
396135,135391
6820,134776
74202101,134754
3040101150,134726
1500003065,134699
74202102,134043
7096531,133745
3040101151,133424
1020100821,133338
1446,132867
3040101159,132655
304100616,132573
304100617,132383
7096530,132365
30412000070,132332
304100618,132288
304100619,132251
304100620,132219
3040101160,131936
10700000066,131794
1120100292,131653
7096648,131631
30416073,131313
3040110153,131269
3041004006,131104
301660,131067
3040110152,130720
2832,130704
7420000048,130544
11995,130235
3040110684,130062
1500004170,129928
1120100291,129671
30416072,129664
1120100287,129638
3041004001,129532
1150001902,129526
7073740,129296
137,128842
178,128842
303220,128841
138,128840
30416075,128621
7061330,128618
3040110686,128514
350090,128400
3040103167,128149
16070,128120
3040110687,128117
3040110688,128085
3040110689,128065
3040110690,128050
1500004589,128004
3040110691,127869
7082610,127731
3040110692,127712
1500003045,127591
3041008001,127555
3040102725,127360
1649,126933
30416076,126169
7422301002,125877
3040104216,125679
74202103,125660
304120000559,125270
305590,125188
742231004,125061
3040110156,125053
12055,124766
3040103228,124344
1500004591,124126
74202104,124058
16135,124045
12738,123982
8812,123906
12739,123877
3040960022,123577
1500004118,123561
301610,123462
1120100533,122975
3041004005,122937
1140100004,122890
74202105,122840
7085780,122767
3040102720,122733
2825,122294
304001189,122222
3040101286,121985
1020100188,121764
303320,121747
1500003980,121466
300116,121183
7085600,121074
1120100151,120969
336003,120672
12489,120671
7096494,120527
7096493,120507
1120100532,120275
30412000111,120062
3043200012,119821
300118,119780
302170,119655
1500004077,119520
304200005,119469
7096496,119027
300117,119021
4080000391,119006
7096495,119005
16069,118997
4080000392,118964
17652,118781
304200006,118692
7096497,118513
22960,118414
30412000291,118264
1140100024,118210
3040111680,118045
300120,117971
305650,117847
7096498,117670
12490,117648
10701000088,117600
2837,117567
10701000094,117445
742730530571,117206
1510000446,116989
7073730,116905
7420000243,116528
300121,116182
3041001604,116019
7074030,115960
7060390,115927
1570010002,115328
3040103233,115129
304001268,114839
74273036503,114463
3041004002,114452
30491334060,113976
1120100640,113810
1570008809,113752
7420000082,113745
1120100534,113603
10701000089,113569
305570,113514
12625,113395
1500004735,113373
12628,113250
74202106,113183
7096499,113099
3040104652,113039
1020100219,112816
30412000292,112666
304210,112638
1602904,112633
3042500044,112500
303390,112477
1120100574,112015
12634,111997
12635,111994
3040101013,111988
1570630395,111813
316640,111693
1500003014,111303
304000598,111029
250000002199,110973
1572879825,110879
364070,110762
30491334010,110743
3042400126,110740
17651,110571
1140100036,110462
304001382,110414
304126920,110364
1572879826,110355
503430,110184
316650,110166
30491348040,109810
1120100535,109699
1140100037,109662
1570630411,109662
3049102785,109529
30491348100,109474
3041008029,109465
1604186001,109413
3041004003,109131
1020100220,109079
4080000371,108956
4080000372,108894
1180102055,108869
7083260,108739
18768,108563
3040109757,108477
3040100614,108336
1020100222,108225
1572879827,107980
400320,107898
12740,107879
12559,107850
1572879828,107850
303280,107636
1120100040,107607
742020466,107545
3040101201,107196
400420,107106
1020100761,107102
7422301001,106759
23182,106753
1572879829,106596
3041008096,106564
10701000457,106419
315990,106310
1180102054,106095
9877,106047
12560,105955
30412000129,105369
3040102760,105355
3040105615,105257
396120,104986
304200035,104945
3040104673,104726
1120100042,104555
364340,104237
12557,104082
3040100539,104039
742401300,104035
3041210109,103911
30491003,103682
74202107,103405
400530,103398
7085660,103383
1570010005,103268
12102,102999
742231000,102890
74202108,102873
14207,102805
14205,102751
4100000013,102629
14208,102608
3040104674,102339
1570010006,102300
3041001606,102235
14352,102231
4100000009,102157
1020100915,102128
1570010008,101973
742020468,101774
331273,101720
7085650,101426
3040103227,101189
504570,101132
12556,101013
12038,100604
1484,100558
504080,100541
3040102840,100078
6866,100063
1150003500,100017
3040109303,99893
10869,99793
742231001,99779
10867,99672
10865,99650
10701000456,99619
10870,99271
30412000027,99232
12276,99157
10868,98921
10866,98920
1120100125,98896
10701000459,98835
1150003502,98780
1150003503,98755
1150003501,98713
12558,98547
12554,98502
10871,98339
10872,98339
10873,98339
1150003504,98101
1570000146,98001
742020461,97858
23180,97666
304160,97542
30412000026,97258
3040109849,97116
1500004122,97091
1570400011,97051
742020462,97041
1570400328,96821
1570400013,96711
3040102885,96542
7070087,96504
1600100632,96503
742020467,96297
1570400326,96196
1315400300,96035
3040100541,95698
303330,95689
27136,95675
27137,95638
1600100633,95628
27140,95598
27138,95504
27141,95495
30412000143,95459
7075510,95441
1410000139,95362
742020460,95121
10701000458,94921
27142,94849
304094010,94769
3041008097,94724
3040109848,93964
1120100226,93796
304001739,93388
301050,93307
304720010,93007
12101,92956
1500003004,92761
3040104057,92674
23183,92657
1600100499,92291
503200,92230
4100000001,92139
9880,92060
4100000002,92058
711,91863
4100000003,91584
3041200049,91562
74202014502,91460
23255,91231
22332,91216
7074070,91109
3040102886,91065
4100000004,90921
7422301003,90920
3040102681,90853
1600100500,90775
4100000006,90540
14189,90507
4100000014,90472
1600100501,90260
1600100503,90029
303400,89988
7420000091,89968
304094000,89710
1150002620,89596
22794,89212
30412000020,89075
400500,88995
1600100626,88704
4100000005,88520
30412000134,88510
1410000138,88494
1120100076,88215
742550001,88189
3041008030,88112
3041001603,87922
7070146,87640
12636,87382
5203054101,86834
1140100006,86514
5203360271,86246
1120100007,86126
7421193001,86118
12147,85834
3042400037,85662
1500003044,85620
503470,85566
3042000003,85562
14194,85028
3041000001,84951
304122122,84840
7070184,84611
74202014501,84479
1500004169,84377
11926,83828
1500003888,83664
3040101196,83214
3041210074,83139
304320090,82969
4080000393,82849
20489,82771
505730,82726
17327,82701
7060690,82688
7420000242,82553
7070099,82414
852,82368
7085630,82349
74202693,81966
11996,81862
1540100030,81504
2240,81441
160231201,81380
3040101262,81369
17329,81341
742540000,81329
1420100006,81180
30491020,81018
30491022,80933
30491021,80933
1180102056,80744
1500003651,80631
3040100125,80595
1150002614,80580
7928,80574
1150002616,80573
1150002615,80572
1150002617,80571
3040105616,80570
1150002618,80567
1150002621,80558
19168,80541
7266,80538
1150002619,80533
7268,80527
19170,80515
1150002622,80510
4080000395,80449
742020465,80395
7872,80338
302340,80226
3040100119,79953
7070106,79775
1180000073,79683
1457,79545
7070123,79512
1180146817,79433
30419000100,79402
742020404,79186
3041210087,79044
1410000191,78982
304100201,78920
3041210120,78873
4080000394,78854
1410000005,78806
3040104120,78783
1410000017,78728
3040100128,78645
3041210076,78572
24226,78496
503370,78489
3040100126,78361
3041210077,78353
3041210121,78351
3040101197,78297
7420304500,78253
3041210078,78178
3040103240,78157
1180000071,78069
1180000072,78069
1500003365,78016
7420000072,77966
3041210079,77941
3041210080,77924
1420100007,77909
7070198,77875
742067145,77862
3041210081,77845
3041210082,77759
3040100132,77736
3040100130,77724
3041210083,77637
303030,77602
3041210084,77535
1180102028,77407
713,77298
3041210086,77153
742020401,77100
3040105014,77097
1500006657,77046
3041210085,76943
4080000373,76865
340300,76856
742231010,76730
503310,76662
3040104121,76516
1410000024,76410
3040104122,76364
3041001601,76359
3040104123,76294
3040104124,76147
3040104125,76041
3040100540,75931
503390,75633
4080000375,75584
1410000039,75564
3040100117,75564
506785,75421
