session_id,project_name,created,modified,model,message_count,user_messages,assistant_messages,user_chars,user_words,assistant_chars,assistant_words,total_chars,total_words,tool_calls,agent_tool_calls,clinical_subagents,non_clinical_subagents
agent-a94f3d22139e721ac,subagents,2026-03-06T14:28:23.503Z,2026-03-06T14:32:48.559Z,claude-opus-4-6,138,64,74,122963,10496,36047,4124,159010,14620,63,0,0,0
agent-ae7f87e9c6921dc48,subagents,2026-03-06T14:28:38.819Z,2026-03-06T14:33:38.907Z,claude-opus-4-6,246,117,129,96344,8958,36974,4304,133318,13262,116,0,0,0
agent-a368517ffa3022877,subagents,2026-03-06T14:28:58.505Z,2026-03-06T14:32:00.342Z,claude-opus-4-6,104,46,58,90389,8397,23051,2549,113440,10946,45,0,0,0
agent-af92f9f8a44da119c,subagents,2026-03-06T14:29:14.385Z,2026-03-06T14:30:56.786Z,claude-opus-4-6,57,26,31,54482,5423,11673,1322,66155,6745,25,0,0,0
agent-a09286be7184a15fd,subagents,2026-03-06T14:29:34.753Z,2026-03-06T14:33:12.578Z,claude-opus-4-6,192,93,99,98556,8123,28988,2916,127544,11039,92,0,0,0
agent-a213d24e054ef0f3d,subagents,2026-03-06T14:29:50.861Z,2026-03-06T14:35:09.266Z,claude-opus-4-6,202,96,106,95114,8077,47034,5052,142148,13129,95,0,0,0
agent-a5797ff5b59c6a242,subagents,2026-03-06T14:30:15.860Z,2026-03-06T14:34:30.565Z,claude-opus-4-6,188,88,100,93271,7815,37529,4110,130800,11925,87,0,0,0
86ce4580-b07f-49b1-a2db-40d235ceed3b,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-06T14:38:49.193Z,2026-03-06T14:46:41.522Z,claude-opus-4-6,51,22,28,48111,5852,10959,1536,59070,7388,17,0,0,0
0dbba6cc-3c16-4898-a9a8-c0886b472229,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-06T15:01:27.249Z,2026-03-06T15:35:32.944Z,claude-opus-4-6,112,52,58,135410,17443,56384,7195,191794,24638,30,11,11,0
agent-a4aa44d54564c9899,subagents,2026-03-06T15:02:04.242Z,2026-03-06T15:03:27.141Z,claude-opus-4-6,45,20,25,174961,16051,8500,921,183461,16972,19,0,0,0
agent-aae83d82de3bc8d8c,subagents,2026-03-06T15:04:01.786Z,2026-03-06T15:08:06.571Z,claude-opus-4-6,97,43,54,105466,9267,38852,4292,144318,13559,42,0,0,0
agent-adb86f85f2076e5a4,subagents,2026-03-06T15:04:13.630Z,2026-03-06T15:08:53.919Z,claude-opus-4-6,162,75,87,134572,13200,40883,4828,175455,18028,74,0,0,0
agent-a4b620f6d694f8d1e,subagents,2026-03-06T15:04:26.769Z,2026-03-06T15:09:55.949Z,claude-opus-4-6,226,106,120,133750,11792,35574,3795,169324,15587,105,0,0,0
agent-a40a907b93971d9f2,subagents,2026-03-06T15:04:39.304Z,2026-03-06T15:08:33.888Z,claude-opus-4-6,139,65,74,134442,11688,28934,3201,163376,14889,64,0,0,0
