source_concept_code,source_description,fca_concept_id,fca_category,fca_assessments,fca_methods,omop_domain,suggested_concept_id,suggested_concept_name,val_type,units,min_val,max_val,custom_list_values,template_names,group_names,n_templates
16887,#5 Bahia Grass (W/F in millimeters),C0447.00,A,,,Measurement,0,,numeric,,,,,AMB ALG ALLERGY TESTING|AMB ALG INTRADERMAL TESTING,Panel C Intra,2
1510000142,Straight Leg Raise Abduction Reps/Sets/Weight (Hip),C0131.00,A,weight,,Observation,0,,string,,,,,IP REHAB EXERCISES,Hip Exercises,1
30979,CVScr Score,C0447.00,A,,,Measurement,0,,numeric,,,,,T EHC GAIN SHORT SCREENER (GAIN-SS),Lifetime Scoring,1
1570638641,BCBT Stage 8 Visual Analogue Scale,C0447.00,A,,,Measurement,0,,numeric,,0,10,,REHAB OP BUFFALO CONCUSSION BIKE TEST (BCBT)|REHAB OP PT OBJECTIVE CONCUSSION EVAL,Buffalo Concussion Bike Test (BCBT),2
7420331597,Mobility Base Color,C0072.00,A,color,,Observation,0,,string,,,,,T EHC PT SEATING MOBILITY BASE RECOMMENDATIONS NAV|T EHC RHB WC SEATING MOBILITY EVAL,Mobility Base Recommendations / Justification,2
8100100,(F) Intake to be Removed (A+B+C+E; omit D)(mL),C0087.00,A,intake,,Observation,0,,numeric,mL,,,,IP CRRT,Intake,1
7081614,R Ring DIP 0-70 (degrees),C0447.00,A,,,Measurement,0,,numeric,Degrees,,360,,HAND THERAPY ASSESSMENT|OT HAND THERAPY ASSESSMENT NAV,Right Hand AROM,2
3049111173,E6. I have low self-esteem because of my swallowing problem,C0067.00,A,swallowing,,Observation,0,,custom_list,,,,Strongly Agree|Agree|No Opinion|Disagree|Strongly Disagree,T EHC MDA DYSPHAGIA INVENTORY (MDADI),Dysphagia Inventory,1
304000038,"Time Frame (Bathing Goal, OT-IRF)",C0065.00,A,bathing,,Observation,0,,custom_list,,,,short-term goal (STG)|short-term goal (STG)|long-term goal (LTG)|long-term goal (LTG)|1 day|1 day|2 days|2 days|2-3 days|2-3 days|3 days|3 days|4 days|4 days|3 - 5 days|3 - 5 days|5 days|5 days|5 - 7 days|5 - 7 days|1 week|1 week|2 weeks|2 weeks|14 days or less|14 days or less|3 weeks|3 weeks|21 days or less|21 days or less|30 days or less|30 days or less|4 weeks|4 weeks|5 weeks|5 weeks|6 weeks|6 weeks|by discharge|by discharge|other (see comments)|other (see comments),CPM S24 IRF GOAL SUMMARY|ZZZ CPM S21 IRF GOAL SUMMARY,Bathing Goal (OT-IRF),2
2600000415,Average Flow (mL/s),C0447.00,A,,,Measurement,0,,numeric,,,,,GYN URODYNAMIC TESTING,Pressure Flow Study (With Rectal Catheter),1
1180104209,Proximal Right Pulmonary Artery PH,C0447.00,A,,,Measurement,0,,numeric,%,,,,CV XPER HEMO,Extended PH Measurements,1
3042226131,LEFT TOTAL VOLUME (cc),C0447.00,A,,,Measurement,0,,numeric,cc,,,,T EHC LYMPHEDEMA UE SEGMENTAL MEASUREMENTS NEW|T EHC OP PT NEURO ORTHO TEMPLATE,Lymphedema Hand Wrist Other Measurements,2
7420315647,Volume of E-F Segment (ml),C0447.00,A,,,Measurement,0,,numeric,ml,,,,T EHC LYMPHEDEMA LIMB VOLUME MEASUREMENTS NEW|T EHC LYMPHEDEMA RLE NAV|T EHC PT LYMPHEDEMA EVAL|T EHC PT LYMPHEDEMA TREAT/DAILY NOTE,RLE Measurements,4
708366400,Volitional Cough,C0047.00,A,cough,,Observation,0,,custom_list,,,,Within functional limits|Dry|Wet|Weak|No cough|Other (Comment),EHC ACUTE SLP EVAL OROPHARYNGEAL AND LARYNGEAL MECHANISM NAV|EHC IP SLP EVAL OROPHARYNGEAL AND LARYNGEAL MECHANISM NAV|EHC RHB IRF SLP EVALUATION|EHC SLP FEES|RHB IP SLP EVAL|RHB OP SLP EVAL|T EHC SLP FEES GENERAL NAV|T EHC SLP FEES IRF,Patient Assessment|Volitional Cough,8
4000000051,Appropriate Weight,C0131.00,A,weight,,Observation,0,,custom_list,,,,Yes - BMI 19-25|No,CARDIAC REHAB RISK FACTORS/GOALS,Weight,1
1315400232,"Activity/Technique (Pain Goal 1, PT)",C0101.00,A,pain_general,,Observation,0,,custom_list,,,,complete activities of daily living|complete functional activities/occupations|complete functional mobility|implement pain management techniques|improve functional movement patterns|improve postural alignment|improve sleep quality or duration|minimize medication use|reduce muscle spasm|incorporate adaptive equipment/assistive devices|incorporate body mechanics techniques|incorporate energy conservation techniques|incorporate complementary health approaches|incorporate physical activity/therapeutic exercise|incorporate physical agents or modalities|incorporate self-management techniques|other (see comments),CPM S24 REH REHAB GOAL SUMMARY,Pain Management Goal 1 (PT),1
1315400226,"Prog/Outcomes (Balance Goal 1, PT-IRF)",C0037.00,A,balance,,Observation,0,,custom_list,,,,good progress toward goal|continuing progress toward goal|progress slower than expected|unable to make needed progress|medical status inhibiting progress|goal met|goal partially met|goal not met|goal no longer appropriate|goal revised this date|goal ongoing|transferred to acute care setting|discharged from facility|medical status inhibited participation|other (see comments),CPM S24 IRF GOAL SUMMARY,Balance Goal 1 (PT-IRF),1
1570631639,Lumbar Flexion Active Range of Motion,C0447.00,A,,,Measurement,0,,numeric,,-360,360,,REHAB OP OBJECTIVE LUMBAR RANGE OF MOTION|REHAB OP OBJECTIVE LUMBAR SPINE EVAL|REHAB OP PELVIC FLOOR OBJECTIVE EVAL,Lumbar Flexion Range of Motion,3
1180147212,LHEPV pO2,C0447.00,A,,,Measurement,0,,numeric,mmHg,,,,CV HEMODYNAMIC,Blood Oximetry Information,1
1500006235,L Gait Comment,C0049.00,A,gait,,Observation,0,,string,,,,,PT ANKLE ASSESSMENT|PT HIP ASSESSMENT|PT KNEE ASSESSMENT,Left Gait Assessment,3
154300449,Bathrobe,C0447.00,A,,,Measurement,0,,numeric,,0,,,EHC BH PAT BELONG ALL|EHC BH PATIENT BELONGINGS SAFE NAV,Belongings Sent to Safe,2
21065328242,Number Of Panic Attacks Per Week,C0447.00,A,,,Measurement,0,,numeric,attack(s),,,,T EHC AMB PUL RHB LD OUTCOME SUMMARY,Panic Attacks,1
1180147433,PACN Hb,C0447.00,A,,,Measurement,0,,numeric,g/dL,,,,CV HEMODYNAMIC,O2 Sat Measurements,1
7420302249,Average,C0447.00,A,,,Measurement,0,,numeric,,,,,T EHC RHB PT VESTIBULAR CONCUSSION EVAL,"Neck (Items 16, 25)",1
1180000262,Blood Temp,C0060.00,A,temperature,,Observation,0,,numeric,°C,,,,CV HEMODYNAMIC,Cardiac Output Results,1
1020100878,Baseline Fetal Heart Rate for Non-Stress Test 2,C0078.00,A,heart_rate,,Observation,0,,numeric,BPM,0,,,AMB OB NST NAV|IP OB DIAGNOSTICS NAV,Non-Stress Test 2,2
7081637,L Thumb MCP 0-60 (degrees),C0447.00,A,,,Measurement,0,,numeric,Degrees,,360,,HAND THERAPY ASSESSMENT|OT HAND THERAPY ASSESSMENT NAV,Left Hand AROM,2
1500006827,BESTest Percent Total Score,C0447.00,A,,,Measurement,0,,numeric,,,,,BESTEST - BALANCE EVALUATION SYSTEMS TEST,BESTest Total Score,1
742067917,Impairments Contributing to Balance Dysfunction,C0037.00,A,balance,,Observation,0,,custom_list,,,,Abnormal muscle tone|Decreased|Impaired|Coordination|Motor control|Pain|Postural control|Range of motion (ROM)|Restricted weight-bearing ability|Sensation|Sensory feedback|Strength|Other (Comment),T EHC OP PT NEURO ORTHO TEMPLATE|T EHC OP PT NEURO SPECIAL TESTS NAV,Special Tests - Neuro / Balance,2
