source_concept_code,source_description,fca_concept_id,fca_category,fca_assessments,omop_domain
10701000381,Respiratory: Interventions,C0057.00,A,respiratory_general,Observation
10701000382,Respiratory: Evaluation of Goals Met,C0057.00,A,respiratory_general,Observation
10701000387,Comfort/Pain: Goal,C0101.00,A,pain_general,Observation
10701000389,Nausea and Vomiting: Goal,C0054.00,A,nausea,Observation
10701000402,BMI,C0051.00,A,bmi,Observation
10701000404,Comfort/Pain: Interventions,C0101.00,A,pain_general,Observation
10701000405,Comfort/Pain: Goal,C0101.00,A,pain_general,Observation
10701000406,Comfort/Pain: Evaluation of Goals Met,C0101.00,A,pain_general,Observation
10701000407,Nausea and Vomiting: Interventions,C0054.00,A,nausea,Observation
10701000408,Nausea and Vomiting: Goal,C0054.00,A,nausea,Observation
10701000409,Nausea and Vomiting: Evaluation of Goals Met,C0054.00,A,nausea,Observation
10701000428,Comfort/Pain: Interventions,C0101.00,A,pain_general,Observation
10701000429,Comfort/Pain: Goal,C0101.00,A,pain_general,Observation
10701000430,Comfort/Pain: Evaluation of Goals Met,C0101.00,A,pain_general,Observation
10701000431,Nausea and Vomiting: Interventions,C0054.00,A,nausea,Observation
10701000432,Nausea and Vomiting: Goal,C0054.00,A,nausea,Observation
10701000433,Nausea and Vomiting: Evaluation of Goals Met,C0054.00,A,nausea,Observation
10701000446,Sensory Perception: Interventions,C0053.00,A,braden,Observation
10701000447,Sensory Perception: Goal,C0053.00,A,braden,Observation
10701000448,Sensory Perception: Evaluation of Goals Met,C0053.00,A,braden,Observation
10701000449,Peripheral Tissue Perfusion: Interventions,C0052.00,A,perfusion,Observation
10701000450,Peripheral Tissue Perfusion: Goal,C0052.00,A,perfusion,Observation
10701000451,Peripheral Tissue Perfusion: Evaluation of Goals Met,C0052.00,A,perfusion,Observation
10701000461,Gait Aid Usage,C0049.00,A,gait,Observation
10701000477,How satisfied were you with the treatment of nausea and vomiting after the operation?,C0054.00,A,nausea,Observation
10701000478,How satisfied were you with pain therapy after procedure?,C0101.00,A,pain_general,Observation
10701000480,What was your temperature?,C0060.00,A,temperature,Observation
10701000510,Interventions for Temp Below Normothermic Threshold,C0060.00,A,temperature,Observation
10701000511,Nausea Status,C0054.00,A,nausea,Observation
