source_concept_code,source_description,fca_concept_id,reason,intent,val_type,units,min_val,max_val,custom_list_values,template_names,group_names,n_templates
27879,Pacemaker Dependent?,C0000.00,no_clinical_attributes,,custom_list,,,,Yes - Patient requires EP consult|No,T RAD ONC CIED COMMUNICATION,Device Check Info (Completed by Device Clinic),1
28151,Please explain,C0000.00,no_clinical_attributes,,string,,,,,EHC HP CHW PROGRAM INTERACTIONS,Diabetes,1
28213,Service Animal Work/Task Trained to Perform,C0000.00,no_clinical_attributes,,string,,,,,ELS AMBULATORY PATIENT PROFILE,Disability Status,1
28214,"Anxieties, Fears or Concerns",C0000.00,no_clinical_attributes,,string,,,,,ELS AMBULATORY PATIENT PROFILE,Mutuality/Individual Preferences,1
28215,Individualized Care Needs,C0000.00,no_clinical_attributes,,string,,,,,ELS AMBULATORY PATIENT PROFILE,Mutuality/Individual Preferences,1
28216,Patient/Family-Specific Goals (Include Timeframe),C0000.00,no_clinical_attributes,,string,,,,,ELS AMBULATORY PATIENT PROFILE,Mutuality/Individual Preferences,1
28217,Describe Yourself,C0000.00,no_clinical_attributes,,string,,,,,ELS AMBULATORY PATIENT PROFILE,Self Perception,1
28219,Personal Strengths,C0000.00,no_clinical_attributes,,string,,,,,ELS AMBULATORY PATIENT PROFILE,Self Perception,1
28220,Behaviors When Feeling Stressed/Fearful,C0000.00,no_clinical_attributes,,string,,,,,ELS AMBULATORY PATIENT PROFILE,Coping/Stress/Tolerance,1
28221,Description of Beliefs that Will Affect Care,C0000.00,no_clinical_attributes,,string,,,,,ELS AMBULATORY PATIENT PROFILE|ELS SOCIAL WORK ASSESSMENT,Spiritual Beliefs|Values/Beliefs,2
28222,Pastoral Care/Clergy/Spiritual Advisor Contacted,C0000.00,no_clinical_attributes,,multi_select,,,,,ELS AMBULATORY PATIENT PROFILE,Spiritual Beliefs,1
28223,Pastoral Care/Clergy/Spiritual Advisor Name,C0000.00,no_clinical_attributes,,string,,,,,ELS AMBULATORY PATIENT PROFILE,Spiritual Beliefs,1
28224,What gives your life meaning?,C0000.00,no_clinical_attributes,,string,,,,,ELS AMBULATORY PATIENT PROFILE|ELS SOCIAL WORK ASSESSMENT,FICA Spiritual Assessment Tool,2
28263,cause,C0000.00,no_clinical_attributes,,custom_list,,,,spontaneous|traumatic,EHC ONCBCN BLEEDING HEMOPHILIA,Bleeding,1
28265,Cause,C0000.00,no_clinical_attributes,,custom_list,,,,spontaneous|spontaneous|induced|induced,EHC ONCBCN BLEEDING HEMOPHILIA,Bleeding,1
29362,Has the patient had a MRI?,C0000.00,no_clinical_attributes,,custom_list,,,,No|Yes|Unknown,EHC ONCBCN GENE THERAPY REGISTRY HEMOPHILIA,MRI,1
29364,Is the result normal or abnormal?,C0000.00,no_clinical_attributes,,custom_list,,,,Normal|Abnormal,EHC ONCBCN GENE THERAPY REGISTRY FOLLOW UP|EHC ONCBCN GENE THERAPY REGISTRY HEMOPHILIA,MRI,2
29417,Has the patient had a MRI?,C0000.00,no_clinical_attributes,,custom_list,,,,No|Yes|Unknown,EHC ONCBCN GENE THERAPY REGISTRY FOLLOW UP,MRI,1
302030,Eye Assessment,C0000.00,no_clinical_attributes,,custom_list,,,,Clear vision|Blurry vision|Focuses with eyes|Conjugate|Diplopia|Does not focus with eyes|Does not track with eyes|Dysconjugate|Extra ocular movements intact|Extra ocular movements not intact|Right eye deviates downward|Left eye deviates downward|Right eye deviates right|Left eye deviates right|Right eye deviates left|Left eye deviates left|Right eye deviates upward|Left eye deviates upward|Right eye field cuts|Left eye field cuts|No deviation|Nystagmus present|Peripheral vision absent|Peripheral vision present|Stigmas absent|Tracks with eyes|Unable to assess|Other (Comment),REHAB ADULT ASSESSMENT,Cranial Nerves,1
302040,Eye Opening,C0000.00,no_clinical_attributes,,custom_list,,,,Closed swelling|Never|Spontaneously|To pain|To verbal command|Other (Comment),REHAB ADULT ASSESSMENT,Cranial Nerves,1
302050,Cranial Nerve Assessments,C0000.00,no_clinical_attributes,,custom_list,,,,Absent cough|Drooling|Dysphagia|Facial numbness right|Facial numbness left|Facial weakness right|Facial weakness left|Hearing diminished right|Hearing diminished left|No facial numbness|No facial weakness|Normal hearing|No tongue deviation|Strong cough|Tongue deviates right|Tongue deviates left|Weak cough|Unable to assess|Other (Comment),REHAB ADULT ASSESSMENT,Cranial Nerves,1
302060,"Shrugs (C3,C4)",C0000.00,no_clinical_attributes,,custom_list,,,,Absent right|Absent left|Moderate right|Moderate left|Strong right|Strong left|Weak right|Weak left|Unable to assess|Other (Comment),IP CVICU COMPLEX ASSESSMENT|IP ICU COMPLEX ASSESSMENT|IP INFANT/NICU ASSESSMENT|IP NEURO ICU COMPLEX ASSESSMENT|IP OB ANTEPARTUM ASSESSMENT|IP OB MAGNESIUM SULFATE|IP PEDS/PICU ASSESSMENT|OB PHYSICAL ASSESSMENT NAV|OR PACU FLOWSHEET,Spinal Cord Motor Function - Cervical Spine,9
302070,Shoulder ABduction (C5),C0000.00,no_clinical_attributes,,custom_list,,,,Absent right|Absent left|Moderate right|Moderate left|Strong right|Strong left|Weak right|Weak left|Unable to assess|Other (Comment),IP CVICU COMPLEX ASSESSMENT|IP ICU COMPLEX ASSESSMENT|IP INFANT/NICU ASSESSMENT|IP NEURO ICU COMPLEX ASSESSMENT|IP OB ANTEPARTUM ASSESSMENT|IP OB MAGNESIUM SULFATE|IP PEDS/PICU ASSESSMENT|OB PHYSICAL ASSESSMENT NAV|OR PACU FLOWSHEET,Spinal Cord Motor Function - Cervical Spine,9
302080,"Elbow Flexion (C5, C6)",C0000.00,no_clinical_attributes,,custom_list,,,,Absent right|Absent left|Moderate right|Moderate left|Strong right|Strong left|Weak right|Weak left|Unable to assess|Other (Comment),IP CVICU COMPLEX ASSESSMENT|IP ICU COMPLEX ASSESSMENT|IP INFANT/NICU ASSESSMENT|IP NEURO ICU COMPLEX ASSESSMENT|IP OB ANTEPARTUM ASSESSMENT|IP OB MAGNESIUM SULFATE|IP PEDS/PICU ASSESSMENT|OB PHYSICAL ASSESSMENT NAV|OR PACU FLOWSHEET,Spinal Cord Motor Function - Cervical Spine,9
