source_concept_code,source_description,fca_concept_id,fca_category,fca_assessments,fca_methods,omop_domain,suggested_concept_id,suggested_concept_name,val_type,units,min_val,max_val,custom_list_values,template_names,group_names,n_templates
1020100253,Volume (mL) Magnesium,C0447.00,A,,,Measurement,0,,numeric,mL,,,,ALL FOUNDATION INFUSION/PCA/PCEA/FEEDING GROUPS|EHC IP ICU COMPLEX VITALS AND DRIPS|EHC IP OB LABOR ASSESSMENT ROVER|IP ICU INTAKE/OUTPUT WITH VITALS|IP INTAKE/OUTPUT|IP NICU/NEWBORN INTAKE/OUTPUT|IP OB LABOR ASSESSMENT|IP OB MAGNESIUM SULFATE|IP PEDS BASIC VITAL SIGNS & INTAKE/OUTPUT|IP PEDS INTAKE/OUTPUT|REHAB INTAKE/OUTPUT|ROVER INTAKE - MEDICATION INFUSIONS,Magnesium Sulfate,12
1020100288,Number of Repair Packets,C0447.00,A,,,Measurement,0,,numeric,,,,,OB MOTHER DELIVERY SUMMARY NON STORK,Delivery Summary,1
1020100295,Length of Stage 1 Minutes,C0447.00,A,,,Measurement,0,,numeric,,,,,IP OB LABOR EVENTS|OB MOTHER DELIVERY SUMMARY NON STORK,Labor Chronology,2
1020100379,Length of Stage 1 Hours,C0447.00,A,,,Measurement,0,,numeric,,,,,IP OB LABOR EVENTS|OB MOTHER DELIVERY SUMMARY NON STORK,Labor Chronology,2
1020100380,Length of Stage 2 Minutes,C0447.00,A,,,Measurement,0,,numeric,,,,,IP OB LABOR EVENTS|OB MOTHER DELIVERY SUMMARY NON STORK,Labor Chronology,2
1020100383,Gestational Age at Birth,C0447.00,A,,,Measurement,0,,numeric,weeks,,,,IP OB INFANT DELIVERY|IP OB INFANT DELIVERY SUMMARY NAV|IP OB NEWBORN DELIVERY INFORMATION NAV,Delivery Summary,3
1020100384,Length of Stage 2 Hours,C0447.00,A,,,Measurement,0,,numeric,,,,,IP OB LABOR EVENTS|OB MOTHER DELIVERY SUMMARY NON STORK,Labor Chronology,2
1020100445,Weight/Length Measurements Taken,C0131.00,A,weight,,Observation,0,,custom_list,,,,Yes|No,OB BEREAVEMENT CHECKLIST,Baby Information,1
1020100595,Is estimated Fetal Weight > 4 kg,C0131.00,A,weight,,Observation,0,,custom_list,,,,Yes|No,OB POSTPARTUM HEMORRHAGE RISK ASSESSMENT,Admission Risk,1
1020100596,Number of previous vaginal births?,C0447.00,A,,,Measurement,0,,numeric,,,,,OB POSTPARTUM HEMORRHAGE RISK ASSESSMENT,Admission Risk,1
1020100620,Hearing Examination,C0088.00,A,hearing,,Observation,0,,custom_list,,,,Yes,IP CORE MEASURES|IP CORE MEASURES PERINATAL CARE NAV,Perinatal Care: Baby,2
1020100621,Medical Reason Hearing Screen Not Done,C0088.00,A,hearing,,Observation,0,,custom_list,,,,Yes,IP CORE MEASURES|IP CORE MEASURES PERINATAL CARE NAV,Perinatal Care: Baby,2
